anio,region,indice,valor,error_estandar
2009,Araucanía,FGT2_severidad,15.584384098779083,0.6557805914105089
2011,Araucanía,FGT2_severidad,11.992681485015163,0.8458524372374672
2013,Araucanía,FGT2_severidad,7.486240689395794,0.35792398159988986
2015,Araucanía,FGT2_severidad,6.461628742017894,0.2753329320887173
2017,Araucanía,FGT2_severidad,5.2999334128345685,0.24509835221274454
2020,Araucanía,FGT2_severidad,9.290545015295343,0.43258255449397687
2022,Araucanía,FGT2_severidad,5.855500695182192,0.2721389773085635
2024,Araucanía,FGT2_severidad,5.428193599286611,0.29487341010571044
2009,Los Ríos,FGT2_severidad,11.023814503905067,1.7029719619661536
2011,Los Ríos,FGT2_severidad,8.356447789094384,0.5143063020187468
2013,Los Ríos,FGT2_severidad,6.436010485664563,0.356955270528229
2015,Los Ríos,FGT2_severidad,4.591245520325541,0.39297673695501073
2017,Los Ríos,FGT2_severidad,4.340537046926112,0.32064619444111797
2020,Los Ríos,FGT2_severidad,7.721355491226338,0.4161854355513711
2022,Los Ríos,FGT2_severidad,2.554891950133482,0.16153903991570845
2024,Los Ríos,FGT2_severidad,3.2507766269483436,0.22033047657091734
2009,Los Lagos,FGT2_severidad,8.032168414364522,0.5296578004926518
2011,Los Lagos,FGT2_severidad,7.742708012705535,0.5017896409363626
2013,Los Lagos,FGT2_severidad,5.177602754050954,0.3231216786976604
2015,Los Lagos,FGT2_severidad,4.889560135173729,0.2612549779167443
2017,Los Lagos,FGT2_severidad,4.416064423663927,0.27857936289752905
2020,Los Lagos,FGT2_severidad,6.710993227016661,0.4447652651043043
2022,Los Lagos,FGT2_severidad,4.009054669788608,0.2822681523144879
2024,Los Lagos,FGT2_severidad,2.5349308632557586,0.19668322589595266
2009,Aysén,FGT2_severidad,7.773386778908161,1.1609996274362233
2011,Aysén,FGT2_severidad,4.545204276627253,0.3487135641193706
2013,Aysén,FGT2_severidad,2.790517107868479,0.2187370666751389
2015,Aysén,FGT2_severidad,2.7220724148016613,0.47606953545281094
2017,Aysén,FGT2_severidad,2.2352952799958175,0.2866225366537152
2020,Aysén,FGT2_severidad,5.665582152345278,0.5836215963740797
2022,Aysén,FGT2_severidad,2.8257814203707574,0.48374966188165236
2024,Aysén,FGT2_severidad,2.1098763420462983,0.2788410082423099
2009,Magallanes,FGT2_severidad,5.8214297474223455,1.3578245152940833
2011,Magallanes,FGT2_severidad,3.211160408740163,0.34969023685380246
2013,Magallanes,FGT2_severidad,3.5633785445130717,1.2280360566684958
2015,Magallanes,FGT2_severidad,2.872710135789418,0.426230396405861
2017,Magallanes,FGT2_severidad,2.04097763552492,0.31899879732288183
2020,Magallanes,FGT2_severidad,4.758762347654965,0.4494802529998059
2022,Magallanes,FGT2_severidad,2.5292279225964123,0.3616630453701102
2024,Magallanes,FGT2_severidad,1.8956216127806451,0.2647706572793858
2009,Total país,FGT2_severidad,7.468996495054098,0.13825925842500775
